rank,item,frequency
1,Guatemala,29
2,guatemala,19
3,noticias,14
4,LaRondaGt,8
5,siguenos,7
6,nacionales,7
7,LaRondaGT,7
8,comparte,7
9,comenta,7
10,like,7
11,ProtegerYServir,5
12,SeguridadConTransparencia,5
13,PNCGuatemala,5
14,PNC,5
15,Policia,5
16,Infraestructura,4
17,estadosunidos,4
18,mexico,4
19,CIV,4
20,sat,4
