variable,count,mean,std,min,25%,50%,75%,90%,95%,max
view_count_all_videos,293.0,60430.08532423208,515798.30600690417,2.0,215.0,1175.0,7465.0,51318.8000000001,130466.99999999984,8190449.0
reply_count_comments,406.0,0.12561576354679804,0.5807479129687542,0.0,0.0,0.0,0.0,0.0,1.0,7.0
like_count_comments,217.0,10.714285714285714,41.34040518099817,1.0,1.0,2.0,4.0,13.400000000000006,31.799999999999955,405.0
