channel_id,channel_name,comment_count,unique_videos,unique_authors
UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,256,11,220
UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,70,2,51
UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,25,1,18
UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,25,1,25
UCVpSRoZgngfSL03Nlbjtq9A,Noti7,14,1,13
UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,7,1,7
UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,7,1,7
UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,2,1,2
