network,n_components,lcc_size,node_connectivity_lcc,edge_connectivity_lcc,transitivity,bipartite_clustering_authors,bipartite_clustering_videos,notes
bipartite,10,286,1,1,,0.9422687146476996,0.014383763075275622,"la red completa tiene 10 componentes; node/edge connectivity se calcularon solo sobre la LCC (286 nodos), porque estas metricas requieren un grafo conexo. transitividad por triangulos no es interpretable en una red bipartita pura (no hay triangulos posibles entre dos conjuntos disjuntos); se reporta bipartite.average_clustering (mode='dot') por lado como complemento."
author_projection,10,276,1,5,0.9840254741148836,,,"la red completa tiene 10 componentes; node/edge connectivity se calcularon solo sobre la LCC (276 nodos), porque estas metricas requieren un grafo conexo. transitividad estandar por triangulos, red unipartita."
video_projection,10,10,1,1,0.3157894736842105,,,"la red completa tiene 10 componentes; node/edge connectivity se calcularon solo sobre la LCC (10 nodos), porque estas metricas requieren un grafo conexo. transitividad estandar por triangulos, red unipartita."
