rank,item,frequency
1,pueblo,56
2,guatemala,52
3,diputado,50
4,él,46
5,pagar,40
6,país,36
7,dinero,34
8,presidente,32
9,corrupto,30
10,trabajo,28
11,seguir,23
12,excelente,22
13,trabajar,21
14,pais,21
15,empresa,20
16,sueldo,20
17,proyecto,19
18,almuerzo,17
19,dejar,16
20,persona,16
21,dar,16
22,pasar,16
23,año,15
24,señor,15
25,llegar,14
26,gobierno,14
27,ver,13
28,salir,13
29,ganar,13
30,vivir,13
