rank,item,video_count
1,Municipalidad de Guatemala,20
2,Gobierno de Guatemala,18
3,@GobiernodelaRepublicadeGuatema,18
4,@GobiernodeGuatemala,17
5,guatemala noticias,16
6,Ministerio de Comunicaciones Guatemala,16
7,@MunicipalidaddeGuatemala-1551,16
8,Gobierno de la República de Guatemala,15
9,PMT Guatemala,15
10,Conred Guatemala,15
11,Provial Guatemala,13
12,guatemala trafico,13
13,guatemala transporte,13
14,Policia Nacional Civil Guatemala,13
15,guatemala lluvias,12
16,guatemala politica,12
17,guatemala seguridad,12
18,Ministerio de Gobernacion Guatemala,12
19,@quorumgt,12
20,@quorumgt/videos,11
