video_id,title,view_count,comment_count,unique_authors,spearman_rho,spearman_p_value,n_videos
06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,6692,14,13,0.8114968240951833,2.4738268705863938e-05,19
3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",573,2,2,0.8114968240951833,2.4738268705863938e-05,19
6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,11670,45,32,0.8114968240951833,2.4738268705863938e-05,19
JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,673,3,3,0.8114968240951833,2.4738268705863938e-05,19
OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,14200,25,18,0.8114968240951833,2.4738268705863938e-05,19
PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,3628,25,19,0.8114968240951833,2.4738268705863938e-05,19
TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",1075,4,4,0.8114968240951833,2.4738268705863938e-05,19
UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,1755,1,1,0.8114968240951833,2.4738268705863938e-05,19
WIUZtitfLRw,Caminar en una ciudad hecha para carros,422,6,6,0.8114968240951833,2.4738268705863938e-05,19
X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,1140,1,1,0.8114968240951833,2.4738268705863938e-05,19
b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,5469,7,7,0.8114968240951833,2.4738268705863938e-05,19
is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,4616,7,7,0.8114968240951833,2.4738268705863938e-05,19
j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,10156,50,49,0.8114968240951833,2.4738268705863938e-05,19
lj983NWyAQY,Plan 2032 Ciudad de Guatemala,304089,25,25,0.8114968240951833,2.4738268705863938e-05,19
n8iP75gIpmw,Qué rico come tu diputado,11775,161,128,0.8114968240951833,2.4738268705863938e-05,19
ndAZjHqzzT8,Internet: escoger el menos malo,717,12,10,0.8114968240951833,2.4738268705863938e-05,19
s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,220,1,1,0.8114968240951833,2.4738268705863938e-05,19
yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,1954,16,16,0.8114968240951833,2.4738268705863938e-05,19
zweosulrwA8,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,52,1,1,0.8114968240951833,2.4738268705863938e-05,19
